name,type,port,proto,ttl,service,prio,value
staging60.test,A,NA,NA,86400,NA,NA,34.90.154.249
www.staging60.test,A,NA,NA,86400,NA,NA,34.90.154.249
staging60.test,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
default._domainkey.staging60.test,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCmpcTGLMcdBnUScGJkl9p5ZErkcWFkdef
ssh,A,NA,NA,86400,NA,NA,34.90.154.249
_dmarc,TXT,NA,NA,3600,NA,NA,v=DMARC1; p=none
_dmarc,TXT,NA,NA,3600,NA,NA,v=DMARC1; p=none; rua=mailto:email
_domainkey,TXT,NA,NA,14400,NA,NA,v=DKIM1; o
ns2,A,NA,NA,86400,NA,NA,99.83.229.113
ns1,A,NA,NA,86400,NA,NA,75.2.77.104
dev.dev.sportcentre.info,A,NA,NA,86400,NA,NA,34.90.154.249
www.dev.dev.sportcentre.info,A,NA,NA,86400,NA,NA,34.90.154.249
dev.dev.sportcentre.info,TXT,NA,NA,14400,NA,NA,v=spf1 +a +mx +ip4:35.204.243.180 include:_spf.mailspamprotection.com ~all
default._domainkey.dev.dev.sportcentre.info,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDITvWibjiZeJPH9nlimR81trmyKkDePucmZ02pOkWvmf3RcnwzYvQI7JhBS
NA,MX,NA,NA,86400,NA,10,mx10.antispam.mailspamprotection.com
NA,MX,NA,NA,86400,NA,20,mx20.antispam.mailspamprotection.com
NA,MX,NA,NA,86400,NA,30,mx30.antispam.mailspamprotection.com
NA,A,NA,NA,86400,NA,NA,34.90.154.249
www,A,NA,NA,86400,NA,NA,34.90.154.249
default._domainkey.dev,TXT,NA,NA,14400,NA,NA,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCwjwD+ys2aaoYecD9vhgeJR8gjZkTOgBvJMNFmE9DvxTtXCj5W7d75X0tmWG1nrfg7WOJZxEpZCiblGP+VWemk
gittesting,A,NA,NA,86400,NA,NA,34.90.154.249
